Chr Start End Gene
1 17369 17436 MIR6859-1
1 30366 30503 MIR1302-2
1 34611 36081 FAM138A
1 65419 71585 OR4F5
1 134773 140566 LOC729737
1 187891 187958 MIR6859-2
1 262719 297504 LOC127239154
1 450740 451678 OR4F29
1 490756 495445 LOC100132287
1 627380 629009 LOC101928626
1 632615 632685 MIR12136
1 725759 778634 LOC100288069
1 778798 810065 LINC01409
1 817371 819834 FAM87B
1 826206 827522 LINC00115
1 827591 859446 LINC01128
1 868071 876802 FAM41C
1 916818 919692 LINC02593
1 920243 925604 LOC107985728
1 923923 944574 SAMD11
1 944203 959256 NOC2L
1 975198 982093 PERM1
1 1013497 1014540 ISG15
1 1059734 1066453 LOC100288175
1 1065635 1069337 LOC105378948
1 1070967 1074306 RNF223
1 1081823 1116089 C1orf159
1 1137017 1144056 LINC01342
1 1167104 1167198 MIR200B
1 1167863 1167952 MIR200A
1 1169005 1169087 MIR429
1 1173056 1179555 TTLL10-AS1
1 1232237 1235041 B3GALT6
1 1274002 1280607 LINC01786
1 1280436 1292025 SCNN1D
1 1296110 1296170 MIR6726
1 1304729 1304812 SNORD167
1 1312502 1312566 MIR6727
1 1339650 1339708 MIR6808
1 1373736 1375207 AURKAIP1
1 1399530 1402046 MRPL20-AS1
1 1401909 1407293 MRPL20
1 1408348 1410684 MRPL20-DT
1 1420166 1423287 ANKRD65-AS1
1 1425871 1430255 TMEM88B
1 1430157 1434573 LINC01770
1 1435690 1442882 VWA1
1 1449689 1470163 ATAD3C
1 1534778 1540624 TMEM240
1 1541673 1574863 SSU72
1 1598012 1600135 FNDC10
1 1599433 1607210 LOC105378586
1 1661478 1692795 SLC35E2B
1 1702379 1724357 CDK11A
1 1891180 1892726 GNB1-DT
1 1921957 2003786 CFAP74
1 2049201 2050070 PRKCZ-DT
1 2181794 2183875 PRKCZ-AS1
1 2189798 2192458 LOC112268219
1 2321253 2391554 MORN1
1 2391841 2405436 RER1
1 2549920 2557011 TNFRSF14-AS1
1 2566535 2584534 LOC100996583
1 2590639 2633016 MMEL1
1 2628756 2636620 MMEL1-AS1
1 2636986 2801693 TTC34
1 3021467 3022903 ACTRT2
1 3059617 3067725 PRDM16-DT
1 3069203 3438621 PRDM16
1 3127975 3128035 MIR4251
1 3306653 3323497 LOC105378604
1 3560695 3560790 MIR551A
1 3625015 3630127 TPRG1L
1 3658643 3668945 TP73-AS3
1 3712200 3714298 TP73-AS2
1 3752450 3771645 CCDC27
1 3778559 3796498 LRRC47
1 3900404 3915447 LINC01134
1 3940612 3952583 LINC01346
1 3947149 3948980 LINC01345
1 3976090 4012704 LINC02780
1 4412051 4424684 LINC01777
1 4571487 4583706 LINC01646
1 5086459 5098548 LINC02782
1 5862672 5862741 MIR4689
1 6101787 6180321 CHD5
1 6185020 6199595 RPL22
1 6204840 6205780 RNF207-AS1
1 6236240 6239444 ICMT-DT
1 6244179 6245578 HES3
1 6415232 6419919 HES2
1 6429834 6429896 MIR4252
1 6460786 6466173 TNFRSF25
1 6467122 6520092 PLEKHG5
1 6590724 6602869 KLHL21
1 6724745 6730012 LINC01672
1 6783892 6784980 CAMTA1-DT
1 7008376 7014279 CAMTA1-AS3
1 7382487 7389754 CAMTA1-AS2
1 7440567 7441617 CAMTA1-AS1
1 7693124 7704562 LOC105376689
1 7771296 7781432 VAMP3
1 8026493 8127070 ERRFI1-DT
1 8208672 8215210 LINC01714
1 8352404 8817640 RERE
1 8424645 8435016 RERE-AS1
1 8494800 8494913 SNORD128
1 8861000 8878686 ENO1
1 8866502 8866590 MIR6728
1 8878835 8879885 ENO1-AS1
1 9148011 9182338 MIR34AHG
1 9151668 9151777 MIR34A
1 9182204 9192086 LNCTAM34A
1 9292894 9369532 SPSB1
1 9425094 9428996 LINC02606
1 9539465 9585173 SLC25A33
1 9652610 9654586 PIK3CD-AS1
1 9672426 9687574 PIK3CD-AS2
1 9967381 9967458 MIR5697
1 9997228 10016021 RBP7
1 10210570 10381603 KIF1B
1 10399064 10420511 PGD
1 10430433 10452153 CENPS-CORT
1 10430433 10442808 CENPS
1 10450031 10451998 CORT
1 10456522 10472529 DFFA
1 11054589 11060018 SRM
1 11099675 11102105 EXOSC10-AS1
1 11143898 11149538 MTOR-AS1
1 11609531 11613355 LINC01647
1 11648387 11654429 FBXO2
1 11777077 11779619 C1orf167-AS1
1 11806191 11843130 CLCN6
1 11840319 11847616 NPPA-AS1
1 11845709 11847783 NPPA
1 11857464 11858945 NPPB
1 11908154 11908272 RNU5E-1
1 11919591 11926427 KIAA2013
1 11934717 11975537 PLOD1
1 12029158 12029222 MIR6729
1 12166943 12167038 MIR7846
1 12191713 12191773 MIR4632
1 12230030 12512047 VPS13D
